"latitude","Tmin","Tavg","Tmax"
69.4166666666667,-32.8652356560697,-11.8836398993355,12.7921542615476
69.25,-32.6082600699423,-11.6551567645542,13.0110493297327
69.0833333333333,-32.568364429666,-11.5028295091609,13.2850983148613
68.9166666666667,-32.341349664174,-11.2197255459475,13.5998901135017
68.75,-32.1744044059549,-10.9801432675961,13.907052083087
68.5833333333333,-31.7969911470869,-10.6719969026031,14.1492873917705
68.4166666666667,-31.5287588316043,-10.4254615232972,14.3635524496943
68.25,-31.3134545664563,-10.2416101045859,14.5084641246636
68.0833333333333,-31.4902133583148,-10.1595800011115,14.9192651601982
67.9166666666667,-31.6702343455254,-10.0553271896552,15.2979697261906
67.75,-31.7831372565874,-10.0081706678984,15.6026678539427
67.5833333333333,-31.8476568201606,-9.91741351176987,15.8726499553599
